mpg,cylinders,displacement,horsepower,weight,acceleration,model year,origin_Europe,origin_Japan,origin_USA
18.0,8,0.6175710594315246,0.4565217391304348,0.5361497022965693,12.0,70,False,False,True
15.0,8,0.7286821705426357,0.6467391304347826,0.5897363198185427,11.5,70,False,False,True
18.0,8,0.6459948320413437,0.5652173913043478,0.5168698610717324,11.0,70,False,False,True
16.0,8,0.6098191214470284,0.5652173913043478,0.5160192798412249,12.0,70,False,False,True
17.0,8,0.6046511627906976,0.5108695652173912,0.5205557130705982,10.5,70,False,False,True
15.0,8,0.9328165374677002,0.826086956521739,0.7734618656081657,10.0,70,False,False,True
14.0,8,0.9974160206718348,0.9456521739130435,0.7771477176070315,9.0,70,False,False,True
14.0,8,0.9612403100775193,0.9184782608695652,0.7652395803799262,8.5,70,False,False,True
14.0,8,1.0,0.9728260869565217,0.797278140062376,10.0,70,False,False,True
15.0,8,0.8320413436692506,0.7826086956521738,0.6342500708817692,8.5,70,False,False,True
15.0,8,0.813953488372093,0.6739130434782609,0.5528777998298838,10.0,70,False,False,True
14.0,8,0.702842377260982,0.6195652173913043,0.5659200453643324,8.0,70,False,False,True
15.0,8,0.8578811369509045,0.5652173913043478,0.6090161610433796,9.5,70,False,False,True
14.0,8,1.0,0.9728260869565217,0.4176353841791891,10.0,70,False,False,True
24.0,4,0.11627906976744184,0.2663043478260869,0.21519705131840094,15.0,70,False,True,False
22.0,6,0.3359173126614987,0.2663043478260869,0.3459030337397222,15.5,70,False,False,True
18.0,6,0.33850129198966405,0.27717391304347827,0.3291749362064077,15.5,70,False,False,True
21.0,6,0.3410852713178295,0.21195652173913043,0.2761553728381061,16.0,70,False,False,True
27.0,4,0.07493540051679587,0.2282608695652174,0.14658349872412813,14.5,70,False,True,False
26.0,4,0.07493540051679587,0.0,0.06294301105755595,20.5,70,True,False,False
25.0,4,0.10852713178294571,0.22282608695652173,0.3002551743691523,17.5,70,True,False,False
24.0,4,0.10077519379844962,0.2391304347826087,0.23164162177487946,14.5,70,True,False,False
25.0,4,0.09302325581395349,0.2663043478260869,0.21604763254890846,17.5,70,True,False,False
26.0,4,0.13695090439276486,0.36413043478260865,0.1760703147150553,12.5,70,True,False,False
21.0,6,0.33850129198966405,0.2391304347826087,0.2934505245250921,15.0,70,False,False,True
10.0,8,0.7545219638242894,0.9184782608695652,0.8511482846611852,14.0,70,False,False,True
10.0,8,0.6175710594315246,0.8369565217391304,0.7833853132974199,15.0,70,False,False,True
11.0,8,0.6459948320413437,0.8913043478260869,0.7850864757584349,13.5,70,False,False,True
9.0,8,0.6098191214470284,0.7989130434782608,0.8843209526509782,18.5,70,False,False,True
27.0,4,0.07493540051679587,0.2282608695652174,0.14658349872412813,14.5,71,False,True,False
28.0,4,0.18604651162790697,0.2391304347826087,0.18457612702013038,15.5,71,False,False,True
25.0,4,0.11627906976744184,0.2663043478260869,0.17436915225404026,14.0,71,False,True,False
25.0,4,0.07751937984496121,0.25815217391304346,0.12276722426991782,19.0,71,False,False,True
19.0,6,0.42377260981912146,0.2934782608695652,0.2894811454493904,13.0,71,False,False,True
16.0,6,0.40568475452196384,0.32065217391304346,0.5177204423022399,15.5,71,False,False,True
17.0,6,0.4702842377260982,0.2934782608695652,0.4865324638502977,15.5,71,False,False,True
19.0,6,0.4702842377260982,0.2282608695652174,0.47887723277573013,15.5,71,False,False,True
18.0,6,0.42377260981912146,0.2934782608695652,0.4749078537000283,15.5,71,False,False,True
14.0,8,0.7286821705426357,0.6467391304347826,0.736036291465835,12.0,71,False,False,True
14.0,8,0.8578811369509045,0.7010869565217391,0.8083356960589737,11.5,71,False,False,True
14.0,8,0.7312661498708011,0.5815217391304348,0.7204423022398639,13.5,71,False,False,True
14.0,8,0.6459948320413437,0.5652173913043478,0.7039977317833853,13.0,71,False,False,True
12.0,8,0.813953488372093,0.7282608695652174,0.9475474907853699,11.5,71,False,False,True
13.0,8,0.8578811369509045,0.6739130434782609,0.8882903317266798,12.0,71,False,False,True
13.0,8,0.8578811369509045,0.7010869565217391,1.0,12.0,71,False,False,True
18.0,6,0.49095607235142125,0.34782608695652173,0.3824780266515452,13.5,71,False,False,True
22.0,4,0.18604651162790697,0.14130434782608692,0.22540402608449106,19.0,71,False,False,True
19.0,6,0.4702842377260982,0.2934782608695652,0.4732066912390134,15.0,71,False,False,True
18.0,6,0.4702842377260982,0.2282608695652174,0.43266231925148857,14.5,71,False,False,True
23.0,4,0.1395348837209302,0.21739130434782605,0.17210093563935358,14.0,71,False,False,True
28.0,4,0.12403100775193798,0.2391304347826087,0.14459880918627732,14.0,71,True,False,False
30.0,4,0.028423772609819126,0.13043478260869562,0.13070598242132125,19.5,71,True,False,False
30.0,4,0.051679586563307484,0.16304347826086957,0.1281542387297987,14.5,71,True,False,False
31.0,4,0.00775193798449611,0.1032608695652174,0.045364332293734044,19.0,71,False,True,False
35.0,4,0.01033591731266148,0.125,0.0,18.0,71,False,True,False
27.0,4,0.07493540051679587,0.07608695652173914,0.06265948398072019,19.0,71,True,False,False
26.0,4,0.05943152454780362,0.13043478260869562,0.0969662602778566,20.5,71,False,False,True
24.0,4,0.11627906976744184,0.2663043478260869,0.1885455060958322,15.5,72,False,True,False
25.0,4,0.07622739018087854,0.18478260869565216,0.14544939041678484,17.0,72,False,False,True
23.0,4,0.07493540051679587,0.04347826086956519,0.18174085625177205,23.5,72,True,False,False
20.0,4,0.18604651162790697,0.2391304347826087,0.22540402608449106,19.5,72,False,False,True
21.0,4,0.1395348837209302,0.21739130434782605,0.17380209810036862,16.5,72,False,False,True
13.0,8,0.7286821705426357,0.6467391304347826,0.7544655514601645,12.0,72,False,False,True
14.0,8,0.8578811369509045,0.7010869565217391,0.7859370569889425,12.0,72,False,False,True
15.0,8,0.6459948320413437,0.5652173913043478,0.7150552877799831,13.5,72,False,False,True
14.0,8,0.7312661498708011,0.5815217391304348,0.713354125318968,13.0,72,False,False,True
17.0,8,0.6098191214470284,0.5652173913043478,0.58378225120499,11.5,72,False,False,True
11.0,8,0.9328165374677002,0.8804347826086956,0.8562517720442303,11.0,72,False,False,True
13.0,8,0.7286821705426357,0.592391304347826,0.8191097249787355,13.5,72,False,False,True
12.0,8,0.7286821705426357,0.6195652173913043,0.8060674794442869,13.5,72,False,False,True
13.0,8,0.8578811369509045,0.7826086956521738,0.7964275588318684,12.5,72,False,False,True
19.0,3,0.00516795865633074,0.27717391304347827,0.20328891409129568,13.5,72,False,True,False
15.0,8,0.6098191214470284,0.5652173913043478,0.6461582081088745,12.5,72,False,False,True
13.0,8,0.6175710594315246,0.4565217391304348,0.7045647859370571,14.0,72,False,False,True
13.0,8,0.6046511627906976,0.5108695652173912,0.7601360929968811,16.0,72,False,False,True
14.0,8,0.6459948320413437,0.5652173913043478,0.6986107173235044,14.0,72,False,False,True
18.0,4,0.13695090439276486,0.3586956521739131,0.374255741423306,14.5,72,True,False,False
22.0,4,0.13695090439276486,0.16304347826086957,0.25460731499858236,18.0,72,True,False,False
21.0,4,0.13436692506459946,0.22282608695652173,0.3872979869577545,19.5,72,True,False,False
26.0,4,0.07235142118863047,0.125,0.16331159625744263,18.0,72,True,False,False
22.0,4,0.1395348837209302,0.21739130434782605,0.22171817408562522,16.0,72,False,False,True
28.0,4,0.07493540051679587,0.25,0.19138077686419053,17.0,72,False,True,False
